workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,practice,encoding,memory,association,block,trial,event_order,event,stim,answer,object,left_context,right_context,context_type,label_left,label_right,left_image,left_event,right_image,right_event,condition,response,response_time,response_acc,association_response_time,association_response,association_acc,order_response,order_response_time,order_acc,distance_response,distance_response_time
H4ZTzK70,3z8ujejod2q8a85trwhk37uqvoc39x,3l4d84mil35excnvjv21lf5vea6jhy,H4ZTzK70,2020-0188,2021-10-31,10:17:56,11:31:24,NA,incomplete,true,true,NA,NA,0,0,NA,black,n_l_024.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,2216.59999999404,true,NA,NA,NA,NA,NA,NA,NA,NA
H4ZTzK70,3z8ujejod2q8a85trwhk37uqvoc39x,3l4d84mil35excnvjv21lf5vea6jhy,H4ZTzK70,2020-0188,2021-10-31,10:17:56,11:31:24,NA,incomplete,true,true,NA,NA,0,1,NA,black,n_l_103.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,2634.19999999553,true,NA,NA,NA,NA,NA,NA,NA,NA
H4ZTzK70,3z8ujejod2q8a85trwhk37uqvoc39x,3l4d84mil35excnvjv21lf5vea6jhy,H4ZTzK70,2020-0188,2021-10-31,10:17:56,11:31:24,NA,incomplete,true,true,NA,NA,0,2,NA,black,n_s_082.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,2549.29999999702,true,NA,NA,NA,NA,NA,NA,NA,NA
H4ZTzK70,3z8ujejod2q8a85trwhk37uqvoc39x,3l4d84mil35excnvjv21lf5vea6jhy,H4ZTzK70,2020-0188,2021-10-31,10:17:56,11:31:24,NA,incomplete,true,true,NA,NA,0,3,NA,black,n_l_081.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1834.20000000298,true,NA,NA,NA,NA,NA,NA,NA,NA
H4ZTzK70,3z8ujejod2q8a85trwhk37uqvoc39x,3l4d84mil35excnvjv21lf5vea6jhy,H4ZTzK70,2020-0188,2021-10-31,10:17:56,11:31:24,NA,incomplete,true,true,NA,NA,0,4,NA,black,n_l_053.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1221.80000000447,true,NA,NA,NA,NA,NA,NA,NA,NA
H4ZTzK70,3z8ujejod2q8a85trwhk37uqvoc39x,3l4d84mil35excnvjv21lf5vea6jhy,H4ZTzK70,2020-0188,2021-10-31,10:17:56,11:31:24,NA,incomplete,true,true,NA,NA,0,5,NA,black,n_l_082.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1428.90000000596,true,NA,NA,NA,NA,NA,NA,NA,NA
H4ZTzK70,3z8ujejod2q8a85trwhk37uqvoc39x,3l4d84mil35excnvjv21lf5vea6jhy,H4ZTzK70,2020-0188,2021-10-31,10:17:56,11:31:24,NA,incomplete,true,true,NA,NA,0,6,NA,blue,m_l_084.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1060.70000000298,true,NA,NA,NA,NA,NA,NA,NA,NA
H4ZTzK70,3z8ujejod2q8a85trwhk37uqvoc39x,3l4d84mil35excnvjv21lf5vea6jhy,H4ZTzK70,2020-0188,2021-10-31,10:17:56,11:31:24,NA,incomplete,true,true,NA,NA,0,7,NA,blue,n_l_055.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1456.60000000149,true,NA,NA,NA,NA,NA,NA,NA,NA
H4ZTzK70,3z8ujejod2q8a85trwhk37uqvoc39x,3l4d84mil35excnvjv21lf5vea6jhy,H4ZTzK70,2020-0188,2021-10-31,10:17:56,11:31:24,NA,incomplete,true,true,NA,NA,0,8,NA,blue,n_l_031.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1196.59999999404,true,NA,NA,NA,NA,NA,NA,NA,NA
H4ZTzK70,3z8ujejod2q8a85trwhk37uqvoc39x,3l4d84mil35excnvjv21lf5vea6jhy,H4ZTzK70,2020-0188,2021-10-31,10:17:56,11:31:24,NA,incomplete,true,true,NA,NA,0,9,NA,blue,m_s_046.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1152.89999999851,true,NA,NA,NA,NA,NA,NA,NA,NA
H4ZTzK70,3z8ujejod2q8a85trwhk37uqvoc39x,3l4d84mil35excnvjv21lf5vea6jhy,H4ZTzK70,2020-0188,2021-10-31,10:17:56,11:31:24,NA,incomplete,true,true,NA,NA,0,10,NA,blue,m_s_063.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,right,1746.5,true,NA,NA,NA,NA,NA,NA,NA,NA
H4ZTzK70,3z8ujejod2q8a85trwhk37uqvoc39x,3l4d84mil35excnvjv21lf5vea6jhy,H4ZTzK70,2020-0188,2021-10-31,10:17:56,11:31:24,NA,incomplete,true,true,NA,NA,0,11,NA,blue,m_l_112.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1318.09999999404,true,NA,NA,NA,NA,NA,NA,NA,NA
H4ZTzK70,3z8ujejod2q8a85trwhk37uqvoc39x,3l4d84mil35excnvjv21lf5vea6jhy,H4ZTzK70,2020-0188,2021-10-31,10:17:56,11:31:24,NA,incomplete,true,true,NA,NA,0,12,NA,yellow,m_s_078.jpg,NA,NA,NA,NA,NA,pleasant,unpleasant,NA,NA,NA,NA,NA,left,1294.69999999553,true,NA,NA,NA,NA,NA,NA,NA,NA
H4ZTzK70,3z8ujejod2q8a85trwhk37uqvoc39x,3l4d84mil35excnvjv21lf5vea6jhy,H4ZTzK70,2020-0188,2021-10-31,10:17:56,11:31:24,NA,incomplete,true,true,NA,NA,0,13,NA,yellow,n_l_010.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,right,1107.80000000447,true,NA,NA,NA,NA,NA,NA,NA,NA
H4ZTzK70,3z8ujejod2q8a85trwhk37uqvoc39x,3l4d84mil35excnvjv21lf5vea6jhy,H4ZTzK70,2020-0188,2021-10-31,10:17:56,11:31:24,NA,incomplete,true,true,NA,NA,0,14,NA,yellow,n_s_114.jpg,NA,NA,NA,NA,NA,unpleasant,pleasant,NA,NA,NA,NA,NA,left,1190,true,NA,NA,NA,NA,NA,NA,NA,NA
